number;text
1;Вероятносное пространство. Аксиоматика Колмогорова. Свойства вероятности. Теорема о непрерывности в "нуле" вероятносной меры и следствия из нее (б/д).
2;Вероятносные меры на R. Функция распределения вероятносной меры, ее свойства. Примеры. Теорема Каратеодори (б/д). Теорема о построении вероятносной меры на R по функции распределения.
3;Классификация вероятносных мер и функций распределения на прямой. Дискретные, абсолютно непрерывные и сигулярные распределения. Примеры. Теорема Лебега для функций распределения.
4;Вероятностные меры на R^n. Многомерная функция распределения, ее свойтсва. Теорема о построении вероятносной меры на R^n по функции распределения (б/д). Многомерная плотность. Примеры.
5;Измеримые отображения. Случайные величины и действия над ними. Критерий измеримости (б/д).
6;Характеристики случайных величин и векторов: распределения вероятностей, функции распределения. Независимость случайных величин. Критерий незвисимости, теорема о независимости борелевских функций от непересекающихся наборов случайных величин. Теорема о приближении случайной величины простыми (б/д).
7;Математическое ожидание случайной величины (интеграл Лебега по вероятностной мере). Основные свойства математического ожидания (9 свойств).
8;Теорема о математическом ожидании произведения независимых случайных величин. Теорема о замене переменных под интегралом Лебега (б/д). Подсчет математического ожидания для случайной величины с кусочно-непрерывной функцией распределения.
9;Прямое произведение вероятносных пространств. Теорема Фубини (б/д). Лемма о свертке.
10;Дисперсия, ковариация и их свойства. Неравенство Коши-Буняковского. Дисперсия суммы независимых случайных величин. Математическое ожидание и матрица ковариаций случайного вектора.
11;Условное математическое ожидание случайный величины относительно сигма-алгебры. Теорема Радона-Никодима(б/д) и обоснование существования условного математического ожидания. Явный вид условного математического ожидание в случае, если сигма-алгебра пораждена счетны разбиением.
12;Основные свойства условного математического ожидания. Теорема о наилучшем квадратичном прогнозе.
13;Условное распределение и условные плотности. Достаточное условие существования условной плотности. Вычисление условного математического ожидания с помощью условной плотности.
14;Неравенство Маркова. Неравенство Чебышева. Закон больших чисел в форме Чебышева. Неравенство Йенсена.
15; Виды сходимости случайных величин, их взаимосвязь. Контрпримеры. Связь между сходимостью по распределению и сходимостью в основном (б/д). Критерий сходимости почти наверное.
16;Лемма Бореля-Кантелли. Критерий Коши сходимости почти наверное. Критерий коши сходимости по вероятности.
17;Неравенство Колмогорова. Теорема Колмогорова-Хинчина о сходимости ряда из случайных величин.
18;Усиленный закон больших чисел для независимых случайных величин с ограниченными дисперсиями.
19;Теорема о монотонной сходимости (б/д). Лемма Фату. Теорема Лебега о мажорированной сходимости.
20;Усиленный закон больших чисел для независимых одинаково распределенных случайных величин с ограниченым математическим ожиданием.
21;Случайные блуждания. Верхние и нижние функции. Закон повторного логарифма для случайного блуждания (б/д).
22;Характерестические функции вероятностных мер, случайных величин и векторов. Примеры. Основные свойства характерестических характерестических функций случайных величин.
23;Теорема о производных характерестических функций случайных величин. Теорема о разложении в ряд характерестической функции. Характерестическая функция стандартного нормального закона.
24;Формула обращения (б/д). Характерестическая функция стандартного распределения Коши. Независисмость компонент случайного вектора в терминах характерестических функций. Теорема Бохнера-Хинчина (в одну сторону). Теорема Пойа (б/д). Теорема Марценкевича (б/д).
25;Теорема о единственности для характерестических функций вероятносных мер на R. Теорема непрерывности для характерестической функции (2-й пункт б/д)
26;ЦПТ для независимых одинаково распределенных случайных величин. Неравенство Берри-Эссена (б/д).
27;ЦПТ в форме Линдеберга (б/д). Выполнимость условия Линдеберга. Условия бесконечной малости и его связь с условием Линдеберга (б/д).
28;Гауссовские случайные векторы. Теорема о трех эквивалентных определениях гауссовского вектора. свойства гауссовских векторов. Явный вид плотности многомерного нормального распределения (б/д).
29; Многомерная ЦПТ (б/д).
